x,y,estimate,variance
0.000000,0.000000,10.364210,0.158805
0.195695,0.000000,10.389584,0.148090
0.391389,0.000000,10.417413,0.138610
0.587084,0.000000,10.448090,0.130660
0.782779,0.000000,10.482009,0.124508
0.978474,0.000000,10.519490,0.120334
1.174168,0.000000,10.560710,0.118165
1.369863,0.000000,10.605645,0.117837
1.565558,0.000000,10.654071,0.119016
1.761252,0.000000,10.705617,0.121258
1.956947,0.000000,10.759845,0.124099
2.152642,0.000000,10.816327,0.127106
2.348337,0.000000,10.874675,0.129918
2.544031,0.000000,10.934560,0.132250
2.739726,0.000000,10.995710,0.133894
2.935421,0.000000,11.057893,0.134709
3.131115,0.000000,11.120897,0.134614
3.326810,0.000000,11.184536,0.133577
3.522505,0.000000,11.248627,0.131620
3.718200,0.000000,11.312992,0.128821
3.913894,0.000000,11.377443,0.125317
4.109589,0.000000,11.441771,0.121322
4.305284,0.000000,11.505733,0.117137
4.500978,0.000000,11.569046,0.113157
4.696673,0.000000,11.631399,0.109865
4.892368,0.000000,11.692529,0.107789
5.088063,0.000000,11.752249,0.107409
5.283757,0.000000,11.810402,0.109049
5.479452,0.000000,11.866964,0.112782
5.675147,0.000000,11.922054,0.118430
5.870841,0.000000,11.975886,0.125644
6.066536,0.000000,12.028708,0.134011
6.262231,0.000000,12.080746,0.143143
6.457926,0.000000,12.132203,0.152710
6.653620,0.000000,12.183229,0.162458
6.849315,0.000000,12.233932,0.172196
7.045010,0.000000,12.284384,0.181788
7.240705,0.000000,12.334644,0.191137
7.436399,0.000000,12.384752,0.200175
7.632094,0.000000,12.434733,0.208856
7.827789,0.000000,12.484607,0.217149
8.023483,0.000000,12.534385,0.225033
8.219178,0.000000,12.584071,0.232497
8.414873,0.000000,12.633669,0.239535
8.610568,0.000000,12.683177,0.246145
8.806262,0.000000,12.732593,0.252327
9.001957,0.000000,12.781911,0.258085
9.197652,0.000000,12.831128,0.263421
9.393346,0.000000,12.880237,0.268339
9.589041,0.000000,12.929231,0.272843
9.784736,0.000000,12.978103,0.276936
9.980431,0.000000,13.026847,0.280623
10.176125,0.000000,13.075456,0.283911
10.371820,0.000000,13.123922,0.286802
10.567515,0.000000,13.172247,0.289302
10.763209,0.000000,13.220431,0.291413
10.958904,0.000000,13.268468,0.293137
11.154599,0.000000,13.316349,0.294473
11.350294,0.000000,13.364069,0.295420
11.545988,0.000000,13.411616,0.295981
11.741683,0.000000,13.458981,0.296161
11.937378,0.000000,13.506165,0.295965
12.133072,0.000000,13.553178,0.295401
